division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
Match,Player_39,4,2,44,3,5,3,3,4,3,4,3,3,2,2,3,3,3
Match,Player_4,2,3,45,3,4,2,5,3,3,3,3,3,3,3,3,4,3
Match,Player_15,4,3,45,3,4,2,3,4,3,3,3,5,3,3,3,4,2
Match,Player_17,4,4,46,5,3,3,3,4,3,3,3,2,3,3,5,3,3
Match,Player_33,3,4,46,4,4,3,3,4,3,3,4,3,4,2,3,3,3
Match,Player_38,1,4,46,3,3,2,3,2,3,3,4,3,3,4,5,3,5
Match,Player_14,1,5,47,4,3,2,3,3,3,3,5,3,5,3,4,3,3
Match,Player_2,2,5,47,3,4,4,3,3,3,4,3,4,4,3,3,3,3
Match,Player_34,3,6,48,4,3,4,4,3,4,3,3,5,2,3,3,3,4
Match,Player_3,1,8,50,3,3,3,3,4,4,6,3,3,3,4,3,4,4
Match,Player_29,2,8,50,4,6,3,3,4,4,4,4,3,2,3,4,3,3
Match,Player_11,4,12,54,6,5,3,4,4,4,3,4,3,3,3,4,3,5
Match,Player_25,3,12,54,4,4,4,4,4,4,2,4,4,3,4,6,4,3
Match,Player_5,2,13,55,4,4,3,4,4,4,3,4,5,4,3,5,3,5
Match,Player_35,3,14,56,4,3,4,4,4,3,5,2,4,3,7,3,5,5
