division,name,card,round_relative_score,round_total_score,hole_1,hole_2,hole_3,hole_4,hole_4½,hole_5,hole_6,hole_6½,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12
25seas,Player_6,1,-3,39,3,3,2,3,3,3,2,2,2,3,3,4,4,2
25seas,Player_34,2,2,44,4,3,3,3,3,3,4,5,3,3,3,2,3,2
25seas,Player_28,2,8,50,4,4,4,4,4,4,4,3,3,3,3,4,3,3
25seas,Player_31,4,-3,39,3,3,2,3,2,2,3,2,3,2,3,4,3,4
25seas,Player_11,1,-1,41,3,5,3,3,2,3,4,2,3,2,3,4,2,2
25seas,Player_17,4,-1,41,4,2,2,3,5,4,3,2,3,3,3,2,3,2
25seas,Player_2,3,1,43,3,3,3,2,5,3,3,2,3,2,4,3,4,3
25seas,Player_9,2,1,43,3,4,3,3,3,3,3,3,3,3,3,2,4,3
25seas,Player_38,3,5,47,4,3,3,3,4,3,2,3,4,3,4,4,3,4
25seas,Player_19,3,14,56,5,5,5,4,4,4,4,3,3,2,4,4,5,4
25seas,Player_4,1,6,48,5,4,3,3,3,3,2,3,4,2,3,6,3,4
25seas,Player_39,1,6,48,4,4,3,3,4,3,3,5,3,4,4,3,3,2
25seas,Player_24,4,6,48,3,4,4,3,4,3,3,3,4,3,3,4,3,4
25seas,Player_1,4,10,52,4,4,3,4,4,4,6,3,4,3,3,4,3,3
